,Text,label,predicted
5583,In addition to the touch screen which usually isn't easy to use - you have to touch the bar you want many times and sometimes it reads the wrong one and you have to start over - have buttons connected to the choices so you can press it once and know it will register.,improve touchscreen,improve touchscreen
5584,Got transaction completed,normal,normal
5585,Fast and easy transaction,normal,normal
5586,"Put just an ATM in there area , because it gets really crowded sometimes.",add location,add location
5587,I make a bank despot for over 6.000$ and y'all fools want let me hv my money till the 28 at 9am probably a other lie.i need my money to pay people.how stupid can boa be.... plus boa has not paid me my fraud clam.only 88$+-. I HV been a customer sense ######.....but I thinking of changing banks.boa is not what it use to be.....I WANT MY MONEY.,improve withdrawal process,improve withdrawal process
5588,Fast and easy.,normal,normal
5589,Sometimes the ATM stop accepting Deposits. For example you can't make check are cash deposits. It would be nice if this part of the ATM experience would be better. Thanks,improve deposit process,normal
5590,I wish there more atm in my area,add location,add location
5591,This answer is not for the ATM. I visited BOA office in Aventura Mall and I registered my name to be serviced by one of the costumer representative. However I noticed that more people were coming to the office and getting service faster than me. I have to spent more than 2 hours just to process a wire transfer.,improve customer service,improve customer service
5592,Location.,normal,normal
5593,"Easy, always open, can deposit as well",normal,normal
5594,The accessibility of services that do not require going inside a bank branch.,normal,normal
5595,it was easy to use,normal,normal
5596,Always greeted with a very friendly staff. Always greeted by name. Are 100% happy with our banker Alex Dreury. Such an extra helpful on meeting our banking needs. A feeling of a friend. Very personable.,normal,normal
5597,fast and easy. and new machines are a plus,normal,normal
5598,deposit,normal,normal
5599,Lower the ATM for those in cars,drive-up height/layout,drive-up height/layout
5600,Cash withdrawl,normal,normal
5601,DE verdad me parecio muy amable,normal,normal
5602,Most convenient ATM near our home and it’s always quick and easy to deposit money,normal,normal
5603,Good job,normal,normal
5604,Speed of customer,make process faster,normal
5605,Mobile atm is very quick,normal,normal
5606,The area around the ATM is clean...and  I am greeted when I walk in the door...not every time ..but most of the time...I,normal,normal
5607,Convenience and safety of area,normal,normal
5608,Offer $5 bills at atm,multi-denomination,multi-denomination
5609,"Location, convenience, speed",normal,normal
5610,They need two atm in the drive through since there is no more drive up that’s very sad,normal,add location
5611,I've never experienced any problems.,normal,normal
5612,The door does not work properly . It has taken me from 3 to 15 times to be able to open the door and I am not the only customer that has this issue. The ATM Id IMA ######... NEEDS TO BE FIXED.,door/parabit reader,door/parabit reader
5613,Wasn’t busy,normal,normal
5614,"It gave me what I asked for!  However, I'm not so sure I like the blinking green card entry, quite frankly it looks fake and I actually touch it, and pull on it slightly just to make sure it's not.  We've had a bit of that in this area, and it mimics what the news agencies have shown as fake card slots in our area attached to bank ATMs.",normal,normal
5615,The machine worked.,normal,normal
5616,I could not withdraw in multiples of $20 but multiples $100 it asked me to dispense which bills I with drew 2 $10 and 4 $20s so I deposited what I did not need what a hassle!,multi-denomination,multi-denomination
5617,Got the money I needed quickly.,normal,normal
5618,"Easy, efficient, convenient, correct.",normal,normal
5619,The inconstant placement of the enter key,normal,normal
5620,Fast and efficient,normal,normal
5621,its easy quick and painless,normal,normal
5622,Sharp curve to enter machine always hit my tires. Seems the machine is down alot,drive-up height/layout,normal
5623,Services rendered,normal,normal
5624,It would have been a 10 had I not have to wait for as long as I did at the atm.,normal,normal
5625,The ATM is too high to reach from my car.  I have a Mazda 3 which is not that small of a car.,drive-up height/layout,drive-up height/layout
5626,Seemed speedier.,normal,normal
5627,Smooth and straight forward,normal,normal
5628,It is easy to use and usually works.,normal,normal
5629,Fast and easy,normal,normal
5630,"Safe area, I liked being able to choose how i receive my withdrawal amount .",normal,normal
5631,ATM screen is sometimes sensitive and selects wrong selection when pressed.,improve touchscreen,normal
5632,The ATM did what it was supposed to do.,normal,normal
5633,Best service,normal,normal
5634,"Because the transaction done was fast, at the time I went was clear.",normal,normal
5635,The ATM is fine. I do wish you had a higher face amount bill available.  I recently have been frequenting a machine in Hartford that distributes $50 dollar bills for larger withdrawals  I find that much more convient than piles of 20”s. Remembering back to the old days Baybank in Boston used to have a Baybank 100 machine which distributed $100 bils,multi-denomination,multi-denomination
5636,Always available by text or by phone to resolve any issues that I might have and I really appreciate that,normal,normal
5637,Ease of depositing multiple checks at once,normal,normal
5638,Quick and easy to get what I needed done.,normal,normal
5639,The ATM machine is set too high off the ground . The touch screen is not easily accessible from a regular sized car . I'm 6'1so I have a good wingspan too . Some customers have to open their doors to reach . Poor design .................................... !,drive-up height/layout,drive-up height/layout
5640,It fast and easy,normal,normal
5641,I am happy with their immediate notification to customers.,normal,normal
5642,"People hanging in front, No security...",safety/cleanliness,safety/cleanliness
5643,have more ATMs in area,add location,add location
5644,"USING CARD TO LOG IN ONE TIME , INCASE DOING MORE THAN ONE TRANSACTION",chaining,chaining
5645,Everything went well.,normal,normal
5646,Fast and easy to use. There is never a line.,normal,normal
5647,Facil acceso,normal,normal
5648,Easy to understand how to complete transactions,normal,normal
5649,The service was quick and efficient.,normal,normal
5650,No problems,normal,normal
5651,"I selected $200 ""fast cash""and entered my pin. It then insteaxd tool me to menu for withdrawal, deposits etc, then select account etc... them amount. The system ignored my initial selection",user interface,user interface
5652,"Fix the door, it was stuck, it was hard to get in.",door/parabit reader,door/parabit reader
5653,no problem with transaction,normal,normal
5654,No issues. All went smoothly,normal,normal
5655,Machine is fast and easy to interact with.,normal,normal
5656,The ATM was new and accepted my hard without issues.,normal,normal
5657,no wait,normal,normal
5658,Fast and convenient,normal,normal
5659,"The ATM was able to get different denomination including $5.00, $10.00, $20.00, $50.00, and $100.00 bills.",normal,normal
5660,I was with a relationship manager named Thanh and she helped me through my process of opening a savings and helped me deposit my money into my account after. She was very lovely!,normal,normal
5661,The service and processing time was good . The machine is working fine,normal,normal
5662,Any difficulties to withdraw the money,normal,normal
5663,A needed cash and the ATM worked perfectly. It was convenient to the gas station I had stopped at and didn't need to go out of my way.,normal,normal
5664,It is very easy to use and it isn't always broke.,normal,normal
5665,The machine worked. I quickly completed my transaction.,normal,normal
5666,The ATM works as expected. I use my iPhone at the ATM and it doesn’t give me trouble like some other ATMs in the area.,normal,normal
5667,Quick,normal,normal
5668,Its easy access and not having to wait,normal,normal
5669,Good service,normal,normal
5670,"I hate this location always crowded, Always one teller and you have people waiting for 20 to 25 minutes in line.  The teller once said to me its not her fault that she is the only kinda rude but I don't blame her. Im firing bank of America next week. How is it that Wells Fargo always got 4+ tellers helping people?",improve customer service,improve customer service
5671,"The ATM was not being used, I pulled right up and made my transaction.",normal,normal
5672,fasteasy,normal,normal
5673,Quick & easy,normal,normal
5674,I like when the ATM Machine gives you the option to choose the demoninations,normal,normal
5675,My transaction was super fast!,normal,normal
5676,I always got what I needed,normal,normal
5677,Convenience of location,normal,normal
5678,Seems like on Saturdays the bank employees park their vehicles under the shade provided by the drive through roof. Nearby businesses also park in such a way blocking part of the ATM lane. Nobody seems to care about this. Happens all the time.,safety/cleanliness,safety/cleanliness
5679,"I don't like to use inside office. You changed the bank staff completely. Not useful to me at all. Your help, your products. I think it's a matter of time until you self destruct. B of A customer service and product offerings not what they used to be.",normal,improve customer service
5680,Atm worked well,normal,normal
5681,Everything was easy. Good location.,normal,normal
5682,I can make deposit at any time.,normal,normal
5683,ATM processed the transaction quickly even though cash was involved.,normal,normal
5684,Drive up is difficult w/o hitting the curb or the wooden fence. Too narrow. Have scratched the car wheel  by the curb on the left.,normal,drive-up height/layout
5685,I Could deposit all my bills at once and took less than 5 min to do. Which was great,normal,normal
5686,Never had a problem.,normal,normal
5687,No problem,normal,normal
5688,I appreciate the new touchscreen that was put in and I like the option to specify what denominations I would like. I do miss having $80 as a preset amount for quick withdrawal though.,normal,normal
5689,would have been a 10 but you are not able to choose the the bill denominations on cash withdrawals at this location.,normal,normal
5690,Fast and easy,normal,normal
5691,Unmatched convenience. No bank is closer to my Carrington Park community.,normal,normal
5692,Never encountered issues,normal,normal
5693,It was fast and easy,normal,normal
5694,"Megusta todo el servicio que brinda y la seguridad, Gracias por preocuparse por nosotros. Los recomiendo a mis amigos y familia",normal,normal
5695,Easy to use. Convenient location.,normal,normal
5696,I’m not a easy grader. But the location is great. Never had to go to other ATM. One stop and go.,normal,normal
5697,Easy and fast,normal,normal
5698,Very easy to navigate,normal,normal
5699,Easy and fast,normal,normal
5700,Always responsive. always operational,normal,normal
5701,Easy to follow instructions.,normal,normal
5702,Easy to access.  Got what I needed from the ATM.  The only suggestion I would make is to make it easier to use the touchpad for cars and not just SUV's.,normal,normal
5703,I love that all your transaction are so fast you go in and out without waiting.,normal,normal
5704,Sometimes the touch beeps don’t work and I don’t know if I touched the screen,normal,normal
5705,Joe is hilarious. I had the pleasure to be attended by joe a second time. Please keep joe around he makes the dreadful trip to the bank fun. Nicest bank of America manager around.,normal,improve customer service
5706,"Very quick response to key commands, clear messages.",normal,normal
5707,Easy to use,normal,normal
5708,Great,normal,normal
5709,Happy there were more options in withdrawing besides the usual $20 bill,normal,normal
5710,"didn't take some bills, but didn't spit them back cleanly, they were folded and hard to see as only part was put out for me to grab. didn't give me a printed receipt",improve deposit process,improve deposit process
5711,Excellent customer service,normal,normal
5712,I like being able to use the drive through bc I have a baby and he was asleep in the car. Quick and easy.,normal,normal
5713,little waiting between screens,normal,normal
5714,not allow people to park in the firelane in get ahead of me when I park leagally,safety/cleanliness,safety/cleanliness
5715,Easy to use the atm and can make multiple transactions with ease,normal,normal
5716,I drove up to the atm and got the money out that I needed and left no problems or delays.,normal,normal
5717,site is well lit so i feel safe and transactions are quick,normal,normal
5718,I love that I can deposit my cash money at any time of the day.,normal,normal
5719,Other BoA branches offer choice of bill denominations at ATM.,multi-denomination,normal
5720,Everything went smoothly.,normal,normal
5721,I don’t give perfect ratings.,normal,normal
5722,"I never have any problems with the ATM machine.
Esay to understand instructions.",normal,normal
5723,I made my deposit during the day. I don’t consider the atm to be very safe at night. I wish that Bank of America had more atm locations in crestview Florida. Our banking location was shut down.,safety/cleanliness,safety/cleanliness
5724,It is very easy and quick.,normal,normal
5725,I liked getting $10's and 20''s,normal,normal
5726,I am happy as long as I am able to complete the transaction I desire.  There have been times when the ATM will not accept certain types of deposits. That is extremely annoying.,normal,normal
5727,Quik and easy,normal,normal
5728,I deposited a check and got my cash and no one robbed or killed me.,normal,normal
5729,Nice,normal,normal
5730,No problems at all,normal,normal
5731,"quick and easy, just as it should be",normal,normal
5732,"I like being able to pick the bill amounts (10's & 20's), just wish you had not closed the two branches closest to home (Longwood, FL, SR 434 & I4). Yes, I am aware there are other branches I could drive further to get to, but at least an ATM nearby would be helpful.",multi-denomination,normal
5733,Easy and convenient,normal,normal
5734,To let the company know they are doing a excellent job.,normal,normal
5735,"CONVENIENT, SAFE, AND SECURE, THANK YOU",normal,normal
5736,I always certify with all service at BOA Rt.27.,normal,normal
5737,It would not take coins,multi-denomination,improve deposit process
5738,It asks you what values of currency you want,normal,normal
5739,Everything ran smoothly with no problems.,normal,normal
5740,Easy to use & understand,normal,normal
5741,Deposit without a deposit slip is a great time saver. The instructions and options on the screen are easy to navigate.,normal,normal
5742,User friendly,normal,normal
5743,It sometimes is difficult to reach all the buttons I need to use.,normal,normal
5744,Accessibility of the machine is faster and easier to operate.,normal,normal
5745,My transaction was completed,normal,normal
5746,Person in front ATM machine had too many transactions,normal,normal
5747,Because it's not a problem anytime i go to the atm,normal,normal
5748,"Instead of reinserting your debit card twice, just the pin card number should be enough. This takes less time out when using the ATM.",chaining,chaining
5749,Because the branch is always empty not too many customers.,normal,normal
5750,Service was what I expected.,normal,normal
5751,"Convenient, and more than one.",normal,normal
5752,"New atm is easier to read and use, plus faster",normal,normal
5753,This ATM experience required two machines.  The first didn't accept cash deposits so I had to use a second machine.,normal,normal
5754,Was able to avoid the lines inside especially on that day because I wasn't feeling well,normal,normal
5755,New machine is more friendly useable. Larger fonts on machine,normal,normal
5756,Fantastic display,normal,normal
5757,Good security. Not to many people waiting,normal,normal
5758,"Safe, secure, and fast. Brilliant idea. Thanks BOA!",normal,normal
5759,Quick and easy,normal,normal
5760,It wasn't a long line and I didn't have any problems,normal,normal
5761,They need to be a little bit wider 's people that drive trucks the mirrors hit the polls,normal,drive-up height/layout
5762,Ease of use with Apple Watch.,normal,normal
5763,I feel very safe with my money and always feel taken care of,normal,normal
5764,"Whenever I go to the bank, I get prompt service.",normal,normal
5765,"Everything worked out perfectly fine.
Thank you",normal,normal
5766,"Local ATM, easy to use. This is the only Bank of America ATM in Westfield, down from 3, plus we do not have a branch anymore. If you close this one I will no longer be able to have a checking account with you.",normal,normal
5767,Depositing,normal,normal
5768,Easy and correct without any issues,normal,normal
5769,"The ATM meant I did not have to go inside and it was much faster.  The last couple of times I have entered the bank lobby, it took me a long time to reach a teller as they were severely understaffed and no one else there were able to assist.",normal,normal
5770,It’s a convenient location for me near my job,normal,normal
5771,Worked well as usual but for some reason it didn't print my balance on the receipt like it usually does,normal,normal
5772,Worked good,normal,normal
5773,Easy to use.,normal,normal
5774,It did what it’s there for,normal,normal
5775,THE NEW MACHINE IS MORE ACCURATE AND EASY TO USE,normal,normal
5776,THIS TIME is was good -- at other times it has been difficult to touch the screen and have it move quickly and appropriately --,normal,normal
5777,I’ve always liked using the ATM because it’s fast and easy.,normal,normal
5778,Quick easy accurate,normal,normal
5779,Convenient and quick,normal,normal
5780,Easily accessible ATM,normal,normal
5781,Timewise,normal,normal
5782,I needed fast cash and because my drive up atm has two atm's there was no wait time.,normal,normal
5783,Trash! Like your entire company that profits strictly off overdraft fees.,improve customer service,improve customer service
5784,"Very smooth transactions, no complaints!",normal,normal
5785,It was convenient and fast.,normal,normal
5786,Would be a ten if you had other $ amounts such as 50's,normal,normal
5787,Went smooth,normal,normal
5788,"Put one in Watervliet. They took the one in Watervliet out and not so convenient to go to Latham, Troy or Albany.",add location,add location
5789,Options for denominations instead of just getting twenty dollar bills.,normal,multi-denomination
5790,I like all the staff there.,normal,normal
5791,Convenient location,normal,normal
5792,Location,normal,normal
5793,I never have had a problem with bank of America’s atm  no matter what time or day is.Very convenient and great service,normal,normal
5794,There is always room for improvement,normal,normal
5795,Always available.,normal,normal
5796,Able to get $10 denominations,normal,multi-denomination
5797,"No waiting, no problems.",normal,normal
5798,atm equipment was upgraded at the bank used.,normal,normal
5799,My questions and concerns were addressed with efficiency.,normal,normal
5800,Great service,normal,normal
5801,Convinient,normal,normal
5802,"Efficiency, user friendly.",normal,normal
5803,"Convenient, easy to use",normal,normal
5804,Easy to use,normal,normal
5805,El tiempo de espera muy largo,normal,normal
5806,I really like the new option of being able to choose denominations of bills.,normal,normal
5807,check deposit worked wellone check was noted as unreadable- yet was read and accepted???,normal,normal
5808,Never had any issues that I couldn’t go inside and get taken cared of with no problem,normal,normal
5809,New asphalt  made reaching keypad easier. ATM worked without any problems,normal,normal
5810,fast and easy. love it,normal,normal
5811,It’s uncomfortable using the arm from the drivers side of a car but I have no idea how to improve the reach for short arm people,drive-up height/layout,drive-up height/layout
5812,Providing more than two drive through ATM services at your locations.,add location,add location
5813,"It wasn’t anything out of the norm, I was in an SUV Ford Escape and I could not reach the ATM buttons without having to overreach for the buttons.",normal,drive-up height/layout
5814,ALL goodness!,normal,normal
5815,It's my favorite Bank Of America location.,normal,normal
5816,The site is easy to navigate.,normal,normal
5817,Easy and I like the selection of bills.,normal,normal
5818,The touch screen is set too far back from the curb to comfortably use the machine.,drive-up height/layout,drive-up height/layout
5819,It satisfied my request.,normal,normal
5820,Cool atm,normal,normal
5821,No lines clean area easy access,normal,normal
5822,"Almost perfect, but never quite..",normal,normal
5823,"The order/sequence of screens seems a little awkward.  It should ask you to input card, then PIN, then take you directly to all the options possible, then once you've done one transaction, it should ask you if you'd like to do any more, then once you're completely finished, it should give you back the card, close the session, and reset the screen.",user interface,user interface
5824,Fast & simple!,normal,normal
5825,I’m glad we finally have at least an atm in Wilkes,normal,normal
5826,Good service friendly staff,normal,normal
5827,BOFA customer service phone wait times are terrible. I have called 3 different times on 3 different days and a minimum of 20 minute wait times.,improve customer service,improve customer service
5828,Fast and easy use,normal,normal
5829,It was designed well and easy to use,normal,normal
5830,"ATMs are new with large screen, location is good. Did have trash at the ATM from the Bus Stop close by.",normal,normal
5831,"It’s quick, easy and very convenient!",normal,normal
5832,Es muy agradable y domina perfectamente  su trabajo. Sacia las inquietudes del cliente y aporta explicaciones convincentes asi como buenas sugerencias y consejos.,normal,normal
5833,Processing seemed a little slow.,normal,make process faster
5834,"Always accessible, dispenses larger bills",normal,normal
5835,Didn't have any problem with ATM.,normal,normal
5836,Easy and convenient,normal,normal
5837,Yes,normal,normal
5838,Always great service,normal,normal
5839,Different denomination option,multi-denomination,normal
5840,The machine was in working condition and was able to accommodate my transaction.,normal,normal
5841,Buttons closer to the car. It’s a great and convenient location but I have to open car door to access,drive-up height/layout,drive-up height/layout
5842,very easy to access,normal,normal
5843,Convenience,normal,normal
5844,"Stop endangering customers by requiring reinsertion and reentry of PIN for EVERY single transaction! Go to ATM, insert card, enter PIN, get checking balance, repeat AGAIN for VISA balance, repeat AGAIN to make deposit, repeat AGAIN to make VISA payment! ABSOLUTELY RIDICULOUS! This is encouraging the creepers and shoulder surfers loitering @ ATM's!!",chaining,chaining
5845,"Easy to use, I like the new denomination options.",normal,normal
5846,Position the ATM machine a bit higher.  It's difficult to reach from my SUV window (Suburban).,drive-up height/layout,drive-up height/layout
5847,"Easy access to the ATM, The Main Bank is very close to where I live.",normal,normal
5848,Es muy f?cil manejar los cajeros y me quedan muy cerca de mi casa,normal,normal
5849,The cancel and continue options werent working on the select denomination screen.  Nothing was happening until a couple of minutes passed.  Then it finally worked.  A little scary...because I didn't know what to do...didn't want to leave the atm to go into the bank for help...thought of calling via cell phone.  Very frustrating,improve touchscreen,improve touchscreen
5850,Fast easy and convenient,normal,normal
5851,new drive up ATM is too high for sedan cars.  It's hard to reach the top buttons unless you're driving an SUV.  And I'm not a short person.  I've seen people have to open the car door and get out to reach certain buttons - they're close enough to the ATM but it's too high up when you're sitting.,drive-up height/layout,drive-up height/layout
5852,Easy access and quickly accomplished,normal,normal
5853,I had not problem this time however the bank only has 2 drive up atm and there are a number of times that it could use a third atm because of the number of vehicles waiting in line,normal,normal
5854,The manager was standing behind the 2 cashiers chatting; picking up lotion; asking customers to smell how good it is while there are 4 people ahead of me.,improve customer service,normal
5855,it was good,normal,normal
5856,Because I had great service and was helped we’ll,normal,normal
5857,Easy to use,normal,normal
5858,"Fast transaction, well lit area, atm  visible from road (extra level of security)",normal,normal
5859,Always helpful,normal,normal
5860,Cause there weren’t that many people there,normal,normal
5861,its so easy to use and fast no waiting in lines,normal,normal
5862,Always an easy transaction with friendly faces. All/any questions are always answered with ease. All representatives are knowledgeable and professional,normal,normal
5863,Excelente,normal,normal
5864,I was able to get in and out and take care of my transaction quickly.  No issues.,normal,normal
5865,2 minutes from my work very convenient!,normal,normal
5866,Fast and easy,normal,normal
5867,Fast and easy,normal,normal
5868,Excellent atm,normal,normal
5869,I had to reach up to end the transaction.  That option should be in two places on the screen so people with shorter arms can reach it.,normal,drive-up height/layout
5870,Everything worked well.,normal,normal
5871,No problem with the machine.,normal,normal
5872,I went to that machine specifically to take money out. It was convenient and fast.,normal,normal
5873,Issues with the safety of driving through the parking lot i.e. careless drivers.,normal,safety/cleanliness
5874,ease and security,normal,normal
5875,Easy usage & more convient,normal,normal
5876,It works. I often use deposit functions.,normal,normal
5877,Quick and easy to use.,normal,normal
5878,I tried to deposit at another atm that was more convenient and it wouldn't work said deposits unavailable so I had to go to another atm out of my way,improve deposit process,improve deposit process
5879,The location is easy to access for me to use and I normally has no issues with the branch itself.,normal,normal
5880,Simple as could be!,normal,normal
5881,Stop making us resubmit our card and pin between transactions.,chaining,chaining
5882,I deposit my check there every 2 weeks and only once has the machine been down in years,normal,normal
5883,The drive up atm has no signs on the right side of the bank.. you cannot tell it is there until you drive to leave. The entrance is very small to drive through,safety/cleanliness,normal
5884,ease of deposit,normal,normal
5885,"Two machines, easy parking",normal,normal
5886,Location finally don’t have to travel 30 mins to the back or 45 with traffic! I love having it less the 5mins away plus you’re in and out plenty of atms no hassle no fuss it’s perfect!,normal,normal
5887,Drive through ATM.,add location,add location
5888,Fast and easy to figure out,normal,normal
5889,Simple and easy to follow,normal,normal
5890,The machine worked. the other drive thru atm had a mechanic working on it,normal,normal
5891,Quickly,normal,normal
5892,It was an easy walk-up from my location in the area.,normal,normal
5893,For being a super efficient and fast bank in operations,normal,normal
5894,Easy,normal,normal
5895,Was good and easy way of using it,normal,normal
5896,"I did not have a wait, pulled into vacant location at the ATM and conducted my transaction (Lucky me). The ATM functioned well.",normal,normal
5897,Transaction completed with no problems!,normal,normal
5898,The ATM drive-thru is rarely busy when I go and it’s always stocked with the funds. Sometimes when I use other ATMs I have to wait because of a line or I have to find another one because it is out of funds. Especially on or near payday.,normal,normal
5899,This is not a enclosed location and is impossible to do through a car window . You are standing there holding onto cash hoping the wind doesn't blow it away if you drop it .,safety/cleanliness,drive-up height/layout
5900,fast no waiting,normal,normal
5901,"Quick, simple hassle free.",normal,normal
5902,Muito bom,normal,normal
5903,Hard to reach,normal,drive-up height/layout
5904,Quick and easy.,normal,normal
5905,Convenience,normal,normal
5906,Easy to follow- fast in loading,normal,normal
5907,"It takes way too long to do a cash deposit.  That has been my feeling for so long.  Especially in being in such a crime ridden area, something has to give",improve deposit process,improve deposit process
5908,"TransAction was smooth and secure ,no waiting in line to deal with some mean and fasty agent,who just always sounds like their world is about to end, No delay , no no I can’t help. Just me and the machine.",normal,normal
5909,Everything was great,normal,normal
5910,NO PROBLEMS,normal,normal
5911,They told me how to fix a problem in my phonebapp,normal,normal
5912,Oll good,normal,normal
5913,I couldn't reach the withdrawal screen from my car and I was very close to the machine,drive-up height/layout,normal
5914,In and out,normal,normal
5915,"The new ATMs are much easier to use, and the efficiency makes the experience much less frustrating - they are faster and smoother.",normal,normal
5916,"Easter service, more tellers",improve customer service,normal
5917,This ATM is in a very convenient area. And I was only there for about five minutes to make my Transaction.,normal,normal
5918,"Ease of use, no problems with this atm",normal,normal
5919,Friendly and easy to use,normal,normal
5920,"Clear, concise & to the point",normal,normal
5921,My transaction went through easily and effortlessly.,normal,normal
5922,New option on receiving money able to get $100 bills at machine.,normal,normal
5923,"Convenient location, atm easy to use",normal,normal
5924,Convenient location. Up to date technology.,normal,normal
5925,Very helpful,normal,normal
5926,"The only reason I did not give you a 10 is I have to leave Anna Maria Island to go to an ATM.  I know you took the branch off the island, but maybe you can designate a spot for a Bank of America ATM on the island.  In all other respects the branch on 75th and Manatee Avenue was excellent.",normal,normal
5927,The bank tellers are professional and they treat very well,normal,normal
5928,"Does not allow you to pick what kind of bills you want. $10, $20 $100. I've been to others that do let you.",multi-denomination,multi-denomination
5929,Buen trato,normal,normal
5930,I love using my phone to sign in and being able to take out multiples of 10,normal,normal
5931,transaction was fast and easy,normal,normal
5932,This ATM does not dispense large bills. I like to choose.,multi-denomination,multi-denomination
5933,No must no fuss easy use of the screen,normal,normal
5934,Parking,normal,safety/cleanliness
5935,Rapidez,normal,normal
5936,Easy to use,normal,normal
5937,"Quick, user friendly.",normal,normal
5938,Always very helpful and the ATM is very convenient!! Thanks,normal,normal
5939,Is faster,normal,normal
5940,I didn't have any problems,normal,normal
5941,Easy for withdrawal,normal,normal
5942,The ATM did exactly what it as intended for,normal,normal
5943,Convenient,normal,normal
5944,because i were ask,normal,normal
5945,no problems with my transaction,normal,normal
5946,ATM Service was prompt and time saving.,normal,normal
5947,"I noticed the new ATM device. It was easy to read, and laid out conveniently. The lighted elements helped me know where to look to place my card, get my cash, etc. and it was fast.",normal,normal
5948,"Make the atm lower so it is accessible to more people with physical challenges; provide atms on left and right sides to accommodate passengers; add two additional atms to accommodate more patrons. I typically have to wait in line at this location, so I avoid it. I did not experience that during this  particular visit because it was night time.",drive-up height/layout,drive-up height/layout
5949,Dispersed in 10s 20s & so on,normal,normal
5950,It was easy to use ATM,normal,normal
5951,"New ATMs installed, very fast and efficient",normal,normal
5952,"I wasn't able to use the ""multiple check"" feature.  I was trying to deposit three checks and I had to insert each one separately - not sure why.  It worked - just took a little bit longer.",improve deposit process,improve deposit process
5953,Pretty standard ATM experience,normal,normal
5954,Money rec'd quickly & accurately,normal,normal
5955,It’s a drive up ATM ....that I have to get out of my car to use,drive-up height/layout,normal
5956,fast serice,normal,normal
5957,"It was raining and since you no longer offer drive-in tellers, the ATM was my only option for not getting out of the car and getting wet.",normal,normal
5958,Many times the “cash deposit” option is not available otherwise completely satisfied,normal,improve deposit process
5959,Deposit,normal,normal
5960,No problems.,normal,normal
5961,"There are no ""instructions"" on the door's card-swipe device as to which way to insert the card.  It's frustrating to be repeatedly denied access to the ATM when using a valid card to unlock the door.",door/parabit reader,door/parabit reader
5962,The ATM was very easy to navigate,normal,normal
5963,I used an ATM that was at the previous location of one of your branches. Unfortunately it's no longer open. But having the ATM operational at that location is a plus for many people in our area. Going to Pensacola from Milton or Pace Florida is not an option for many here. I can't imagine how many customers you have lost here.,normal,normal
5964,Got my work done  and away from the line of people. It was mostly older people and were flooding in. Three people were ahead of me but by the time I found a deposit slip ten more had shown up. I went immediately to the outside ATM.  Maybe an ATM inside would give us older people more confidence.,normal,normal
5965,Line moves fast most of the time and ATM seems to not always be out if order like some places,normal,normal
5966,Easy access and quick to use ATM.,normal,normal
5967,Good ATM. Almost always works. Good location.,normal,normal
5968,"Large, clear displays, easy menu, quick transaction.",normal,normal
5969,10,normal,normal
5970,I was able to conduct my banking in an expedient manner. I used the drive through ATM and was on my way in no time.,normal,normal
5971,The ATM machine has difficulty accepting a $100 bill. It needs improvement.,improve deposit process,improve deposit process
5972,There were no problems. As expected. BOA is #1.,normal,normal
5973,I would like the option to choose my bills for cash back.,multi-denomination,multi-denomination
5974,"Bills tended in specified amounts, that is a pretty cool feature.",normal,normal
5975,There was no one ahead of me holding up the line.  I am very familiar with your machine so I was able to process my transaction quickly.,normal,normal
5976,When I have to do another transaction I have to put the bank car and the password again,normal,chaining
5977,"access the machineez use with cardpin access to fundsgood selection of optionsupon completion have $$, bank card and option to receive receipt",normal,normal
5978,Convenient,normal,normal
5979,The information I sought concerning my account balances was readily available.,normal,normal
5980,It's very easy to understand how do operate the ATM machine and get done what you have to,normal,normal
5981,Convenient,normal,normal
5982,Distribute other variations of currency like the newer machine do.,multi-denomination,multi-denomination
5983,clean and well lit areaeasy cash deposit,normal,normal
5984,Good service,normal,normal
5985,Simple system to work with,normal,normal
5986,"We need more ATM,s",normal,add location
5987,"Easy in, easy out.",normal,normal
5988,Reliable and secure and also and mainly quickest,normal,normal
5989,Convenience of Service and accessibility.,normal,normal
5990,never had any problems,normal,normal
5991,Ease of use.,normal,normal
5992,Rapid service,normal,normal
5993,The ATM machine was so high and I had to open the car door to reach it!! And the touchscreen doesn’t work well you have to press hard the button,drive-up height/layout,drive-up height/layout
5994,Always room for improvement,normal,normal
5995,A little confused,normal,normal
5996,"It is always available, other cities as well. Reduces the amount b of cash I have to carry. It is dependable.",normal,normal
5997,Quick and easy.,normal,normal
5998,Perfect spot new machine quick,normal,normal
5999,It’s easy to use...,normal,normal
6000,No problems.,normal,normal
6001,Good service,normal,normal
6002,"Tried to make a cash deposit at drive thru, however machine said not available.  Parked and went to walk up machine and waited while the lady in front of me kept saying the machine was acting up for her transaction. She kept trying. When I did my deposit it worked.",improve deposit process,improve deposit process
6003,"The first atm machine was partially working.  It did not accept deposit, only cash withdrawals.",improve deposit process,normal
6004,it has never fail me.  I do have a problem with the maintenance fees.,normal,normal
6005,"Easy access to Bank, Quick and easy to use.  Machine is always in operating condition.",normal,normal
6006,Put a bank or ATM in Posner. Those of us in Davenport have no BOA that is convenient.,add location,add location
6007,Quick and easy way to deposit and withdraw funds when bank is closed.,normal,normal
6008,"There were no problems during the transaction, i.e., everything went as it should have.",normal,normal
